timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2529234,2529.234,14.74,87107.96,1257.22,17,22
2529260,2529.26,14.74,87107.48,1257.27,17,22
2529286,2529.286,14.74,87107.34,1257.28,16,20
2529312,2529.312,14.74,87108.27,1257.19,16,20
2529338,2529.338,14.74,87109.2,1257.11,16,20
2529364,2529.364,14.74,87111.96,1256.85,16,20
2529390,2529.39,14.74,87108.62,1257.16,16,20
2529416,2529.416,14.74,87112.39,1256.81,16,20
2529442,2529.442,14.74,87108.21,1257.2,16,20
2529468,2529.468,14.74,87109.78,1257.05,16,20
2529494,2529.494,14.74,87107.36,1257.28,16,20
2529520,2529.52,14.74,87110.27,1257.01,16,20
2529546,2529.546,14.74,87108.81,1257.14,16,20
2529572,2529.572,14.74,87107.45,1257.27,16,20
2529598,2529.598,14.74,87108.8,1257.14,16,20
2529624,2529.624,14.74,87109.84,1257.05,16,20
2529650,2529.65,14.74,87111.81,1256.86,16,20
2529676,2529.676,14.74,87112,1256.84,16,20
2529715,2529.715,14.74,87112.81,1256.77,16,20
2529736,2529.736,14.74,87111.78,1256.86,16,20
2529762,2529.762,14.74,87109.69,1257.06,16,20
2529788,2529.788,14.74,87111.38,1256.9,16,20
2529814,2529.814,14.74,87110.05,1257.03,16,20
2529840,2529.84,14.74,87110.23,1257.01,16,20
2529866,2529.866,14.74,87109.15,1257.11,16,20
2529892,2529.892,14.74,87108.19,1257.2,16,20
2529918,2529.918,14.74,87108.96,1257.13,16,20
2529944,2529.944,14.74,87107.65,1257.25,16,20
2529970,2529.97,14.74,87105.88,1257.42,16,20
2529996,2529.996,14.74,87106.25,1257.38,16,20
2530022,2530.022,14.74,87105.2,1257.48,16,20
2530047,2530.047,14.74,87103.41,1257.65,16,20
2530073,2530.073,14.74,87103.48,1257.65,16,20
2530099,2530.099,14.74,87104.15,1257.58,16,20
2530125,2530.125,14.74,87104.03,1257.59,16,20
2530151,2530.151,14.74,87104.5,1257.55,16,20
2530177,2530.177,14.74,87105.67,1257.44,16,20
2530203,2530.203,14.74,87101.34,1257.85,16,20
2530229,2530.229,14.75,87105.19,1257.48,16,20
2530255,2530.255,14.75,87100.95,1257.88,16,20
2530281,2530.281,14.75,87101.57,1257.83,16,20
2530307,2530.307,14.75,87099.45,1258.03,16,20
2530333,2530.333,14.75,87100.98,1257.88,16,20
2530359,2530.359,14.75,87097.06,1258.25,16,20
2530385,2530.385,14.75,87095,1258.44,16,20
2530411,2530.411,14.75,87100.02,1257.97,16,20
2530437,2530.437,14.75,87099.22,1258.05,16,20
2530463,2530.463,14.75,87101.61,1257.82,16,20
2530489,2530.489,14.75,87099.98,1257.97,16,20
2530515,2530.515,14.75,87103.48,1257.64,16,20
2530541,2530.541,14.75,87101.75,1257.81,16,20
2530567,2530.567,14.75,87102.02,1257.78,16,20
2530593,2530.593,14.75,87102.73,1257.72,16,20
2530619,2530.619,14.75,87103.45,1257.65,16,20
2530645,2530.645,14.75,87100.85,1257.89,16,20
2530671,2530.671,14.75,87101.38,1257.84,16,20
2530697,2530.697,14.75,87102.65,1257.72,16,20
2530737,2530.737,14.75,87098.68,1258.1,16,20
2530757,2530.757,14.75,87100.12,1257.96,16,20
2530783,2530.783,14.75,87099.38,1258.03,16,20
