timestamp_ms,co2_ppm,temperature_C,pressure_hPa
105714,668.00,20.69,949.57
106729,668.00,20.69,949.57
107736,668.00,20.69,949.58
108746,668.00,20.69,949.58
109754,668.00,20.69,949.56
110780,668.00,20.70,949.56
111781,667.00,20.70,949.56
112782,667.00,20.70,949.57
113782,667.00,20.70,949.56
114790,667.00,20.71,949.57
115815,666.00,20.71,949.58
116818,666.00,20.71,949.57
117832,666.00,20.71,949.56
118846,666.00,20.71,949.57
119855,666.00,20.72,949.56
120884,663.00,20.72,949.55
121885,663.00,20.72,949.58
122888,663.00,20.73,949.58
123894,663.00,20.73,949.59
124899,663.00,20.73,949.58
125913,660.00,20.68,949.59
126920,660.00,20.73,949.58
127928,660.00,20.74,949.57
128951,660.00,20.74,949.57
129956,659.00,20.75,949.58
130964,659.00,20.75,949.57
131975,659.00,20.75,949.60
132986,659.00,20.75,949.57
133995,659.00,20.76,949.59
135007,657.00,20.76,949.57
136020,657.00,20.76,949.57
137034,657.00,20.76,949.59
138037,657.00,20.77,949.60
139044,656.00,20.77,949.57
140050,656.00,20.77,949.60
141055,656.00,20.78,949.58
142063,656.00,20.78,949.58
143071,656.00,20.78,949.56
144100,652.00,20.78,949.58
145109,652.00,20.78,949.59
146116,652.00,20.78,949.59
147119,652.00,20.79,949.58
148120,652.00,20.79,949.59
149128,649.00,20.79,949.57
150133,649.00,20.79,949.58
151147,649.00,20.79,949.56
152156,649.00,20.80,949.56
153170,648.00,20.80,949.59
154175,648.00,20.81,949.58
155183,648.00,20.81,949.57
156185,648.00,20.81,949.59
157201,648.00,20.81,949.58
158202,645.00,20.81,949.57
