# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
338              33        0.033            1         71.8           1        71.8            0          0
339              34        0.034            2         77.8           1        71.8          431          0
340              37        0.037            1         71.8           1        71.8          792          0
341              38        0.038            1         71.8           1        71.8            0          0
342              39        0.039            1         71.8           1        71.8          742          0
343              40        0.040            1         71.8           1        71.8            0          0
344              42        0.042            2         77.8           1        71.8          110          0
345              43        0.043            2         77.8           1        71.8          930          0
346              44        0.044            1         71.8           1        71.8            0          0
347              46        0.046            1         71.8           1        71.8            0          0
348              55        0.055            1         71.8           1        71.8            0          0
349              56        0.056            1         71.8           1        71.8            0          0
350              56        0.056            1         71.8           1        71.8           46          0
351              57        0.057            1         71.8           1        71.8           46          0
352              58        0.058            1         71.8           1        71.8            0          0
353              58        0.058            1         71.8           1        71.8          292          0
354              64        0.064            1         71.8           1        71.8            0          0
355              65        0.065            1         71.8           1        71.8            0          0
356              75        0.075            1         71.8           1        71.8            0          0
357              78        0.078            1         71.8           1        71.8           47          0
358              79        0.079            2         77.8           1        71.8          185          0
359              81        0.081            2         77.8           1        71.8           92          0
360              82        0.082            1         71.8           1        71.8            0          0
361              83        0.083            1         71.8           1        71.8            0          0
362              84        0.084            1         71.8           1        71.8            0          0
363              85        0.085            1         71.8           1        71.8            0          0
364              87        0.087            2         77.8           1        71.8          293          0
365              87        0.087            1         71.8           1        71.8           46          0
366              88        0.088            1         71.8           1        71.8            0          0
367              88        0.088            1         71.8           1        71.8           46          0
368              91        0.091            4         83.9           1        71.8           92          0
369              91        0.091            1         71.8           1        71.8            0          0
370              91        0.091            2         77.8           1        71.8          277          0
371              92        0.092            2         77.8           1        71.8          784          0
372              93        0.093            1         71.8           1        71.8            0          0
373              94        0.094            2         77.8           1        71.8          232          0
374              94        0.094            1         71.8           1        71.8           46          0
375              95        0.095            1         71.8           1        71.8           46          0
376              96        0.096            1         71.8           1        71.8            0          0
377              98        0.098            4         83.9           2        77.8          322          0
378              99        0.099            2         77.8           1        71.8          292          0
379             100        0.100            1         71.8           1        71.8            0          0
380             103        0.103            1         71.8           1        71.8            0          0
381             105        0.105            1         71.8           1        71.8            0          0
382             112        0.112            1         71.8           1        71.8           47          0
383             118        0.118            1         71.8           1        71.8            0          0
384             122        0.122            1         71.8           1        71.8            0          0
385             122        0.122            1         71.8           1        71.8            0          0
386             124        0.124            1         71.8           1        71.8            0          0
387             124        0.124            2         77.8           1        71.8            0          0
388             125        0.125            1         71.8           1        71.8            0          0
389             132        0.132            2         77.8           1        71.8           92          0
390             132        0.132            1         71.8           1        71.8           64          0
391             133        0.133            1         71.8           1        71.8            0          0
392             133        0.133            1         71.8           1        71.8            0          0
393             135        0.135            1         71.8           1        71.8            0          0
394             136        0.136            1         71.8           1        71.8           92          0
395             137        0.137            1         71.8           1        71.8            0          0
396             139        0.139            1         71.8           1        71.8          139          0
397             141        0.141            3         81.4           1        71.8          739          0
398             142        0.142            1         71.8           1        71.8            0          0
399               2        0.002            1         71.8           1        71.8            0          0
400               3        0.003           99        111.7          12        93.4          139          0
401               5        0.005            1         71.8           1        71.8           46          0
402               6        0.006            1         71.8           1        71.8            0          0
403              14        0.014            1         71.8           1        71.8           45          0
404              15        0.015            2         77.8           1        71.8           92          0
405              15        0.015            2         77.8           1        71.8           46          0
406              16        0.016            1         71.8           1        71.8            1          0
407              16        0.016            1         71.8           1        71.8           46          0
408              29        0.029            1         71.8           1        71.8          184          0
409              33        0.033            1         71.8           1        71.8            0          0
410              49        0.049            1         71.8           1        71.8            0          0
411              54        0.054            1         71.8           1        71.8          184          0
412              55        0.055            1         71.8           1        71.8            0          0
413              57        0.057            1         71.8           1        71.8            0          0
414              76        0.076            1         71.8           1        71.8            0          0
415              78        0.078            1         71.8           1        71.8            0          0
416              82        0.082            1         71.8           1        71.8            0          0
417              87        0.087            1         71.8           1        71.8           47          0
418              88        0.088            2         77.8           1        71.8          431          0
419              93        0.093            1         71.8           1        71.8            0          0
